Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
THR RWY 33G,1683157.1702557,6097463.0207915,149.9616000,*,S35.2625000,E173.9142111,,,,,,,,351545.00S,1735451.16E,NZKK,,,,
THR RWY 15G,1682993.2228704,6098128.4795529,147.5232000,*,S35.2565139,E173.9123417,,,,,,,,351523.45S,1735444.43E,NZKK,,,,
THR RWY 20,1683460.4025477,6097708.5490844,145.9992000,*,S35.2602611,E173.9175194,,,,,,,,351536.94S,1735503.07E,NZKK,,,,
THR RWY 02,1683144.8521501,6097332.8089290,147.8280000,*,S35.2636750,E173.9140889,,,,,,,,351549.23S,1735450.72E,NZKK,,,,
THR RWY 33,1683114.9169258,6097429.8273079,149.9616000,*,S35.2628028,E173.9137500,,,,,,,,351546.09S,1735449.50E,NZKK,,,,
THR RWY 15,1682830.3605666,6098584.4182096,145.6944000,*,S35.2524167,E173.9105056,,,,,,,,351508.70S,1735437.82E,NZKK,,,,
THR RWY 09,1892744.5566221,5583764.2690302,246.8880000,*,S39.8457000,E176.4214833,,,,,,,,395044.52S,1762517.34E,NZKY,,,,
THR RWY 27,1893370.5397409,5583531.1706711,238.6584000,*,S39.8475806,E176.4288917,,,,,,,,395051.29S,1762544.01E,NZKY,,,,
THR RWY 29,1579591.1018319,5376363.3024099,520.9032000,*,S41.7643028,E172.7544722,,,,,,,,414551.49S,1724516.10E,NZLE,,,,
THR RWY 11,1578387.2834075,5377328.4611274,502.3104000,*,S41.7555778,E172.7400250,,,,,,,,414520.08S,1724424.09E,NZLE,,,,
THR RWY 35,1298988.3922575,5095494.9866036,289.5600000,*,S44.2315722,E169.2309111,,,,,,,,441353.66S,1691351.28E,NZMW,,,,
THR RWY 17,1299129.8484352,5096079.3866581,301.7520000,*,S44.2263806,E169.2330139,,,,,,,,441334.97S,1691358.85E,NZMW,,,,
RWY RWY-09/27,1276385.1142999,4898127.3916630,100.5840000,*,S45.9939611,E168.8210028,,,,,,,,455938.26S,1684915.61E,NZVL,,,,
THR RWY 27,1276367.1727115,4898136.3512436,100.5840000,*,S45.9938722,E168.8207778,,,,,,,,455937.94S,1684914.80E,NZVL,,,,
THR RWY 09,1275541.9626540,4898545.3521675,102.1080000,*,S45.9898111,E168.8104278,,,,,,,,455923.32S,1684837.54E,NZVL,,,,
RWY RWY-09/27,1275504.0244443,4898565.3248038,102.1080000,*,S45.9896139,E168.8099528,,,,,,,,455922.61S,1684835.83E,NZVL,,,,
THR RWY 10,1841218.0138000,5820042.5244239,52.7304000,*,S37.7351444,E175.7373611,,,,,,,,374406.52S,1754414.50E,NZMA,,,,
THR RWY 28,1842132.2459733,5819450.1637181,55.4736000,*,S37.7402361,E175.7479222,,,,,,,,374424.85S,1754452.52E,NZMA,,,,
THR RWY 22,1841930.2108713,5820606.0304555,51.8160000,*,S37.7298833,E175.7452472,,,,,,,,374347.58S,1754442.89E,NZMA,,,,
THR RWY 04,1841168.2293404,5820233.7326126,52.7304000,*,S37.7334361,E175.7367333,,,,,,,,374400.37S,1754412.24E,NZMA,,,,
THR RWY 27,1372356.7216590,5196052.4797717,101.1936000,*,S43.3538917,E170.1910083,,,,,,,,432114.01S,1701127.63E,NZML,,,,
THR RWY 09,1372005.7583051,5196194.1520920,101.4984000,*,S43.3525111,E170.1867417,,,,,,,,432109.04S,1701112.27E,NZML,,,,
THR RWY 22,1809541.9052214,5994065.8217461,114.9096000,*,S36.1755389,E175.3299250,,,,,,,,361031.94S,1751947.73E,NZKD,,,,
THR RWY 04,1809069.0896123,5993792.2397427,121.9200000,*,S36.1781056,E175.3247444,,,,,,,,361041.18S,1751929.08E,NZKD,,,,
THR RWY 34,1932576.6541709,5623070.8542028,1.5240000,*,S39.4776944,E176.8663111,,,,,,,,392839.70S,1765158.72E,NZNR,,,,
THR RWY 16,1932800.2669136,5624808.2361285,1.8288000,*,S39.4619889,E176.8680389,,,,,,,,392743.16S,1765204.94E,NZNR,,,,
THR RWY 34G,1932761.6332027,5623508.1495914,1.8288000,*,S39.4736917,E176.8682389,,,,,,,,392825.29S,1765205.66E,NZNR,,,,
THR RWY 16G,1932856.8480338,5624269.1002138,1.8288000,*,S39.4668139,E176.8689639,,,,,,,,392800.53S,1765208.27E,NZNR,,,,
THR RWY 25,1933090.4401255,5624532.8154208,1.5240000,*,S39.4643528,E176.8715417,,,,,,,,392751.67S,1765217.55E,NZNR,,,,
THR RWY 07,1931890.7593265,5624565.4776186,1.5240000,*,S39.4645222,E176.8576111,,,,,,,,392752.28S,1765127.40E,NZNR,,,,
THR RWY 29,1449373.7771310,5018091.1856565,26.2128000,*,S44.9746444,E171.0897139,,,,,,,,445828.72S,1710522.97E,NZOU,,,,
RWY RWY-11/29,1449391.2613717,5018074.6167530,25.9080000,*,S44.9747972,E171.0899306,,,,,,,,445829.27S,1710523.75E,NZOU,,,,
THR RWY 11,1448706.9144394,5018729.3580542,28.0416000,*,S44.9687611,E171.0814528,,,,,,,,445807.54S,1710453.23E,NZOU,,,,
THR RWY 02,1448695.5386534,5018709.9463887,28.0416000,*,S44.9689333,E171.0813028,,,,,,,,445808.16S,1710452.69E,NZOU,,,,
THR RWY 20,1449280.3415466,5019321.1887473,25.9080000,*,S44.9635583,E171.0888972,,,,,,,,445748.81S,1710520.03E,NZOU,,,,
THR RWY 36,1448432.2402090,5018345.5592367,29.5656000,*,S44.9721556,E171.0778562,,,,,,,,445819.7600S,1710440.2824E,NZOU,,,,
THR RWY 18,1448981.7499974,5019505.2985282,28.0416000,*,S44.9618385,E171.0851684,,,,,,,,445742.6186S,1710506.6061E,NZOU,,,,
THR RWY 36,1817394.1096884,5996771.4861202,3.0480000,*,S36.1494367,E175.4164175,,,,,,,,360857.972S,1752459.103E,NZOX,,,,
THR RWY 18,1817698.3906845,5997456.9890538,1.8288000,*,S36.1431936,E175.4196072,,,,,,,,360835.497S,1752510.586E,NZOX,,,,
THR RWY 22,1758067.7210196,5976278.6963151,1.8288000,*,S36.3455944,E174.7614556,,,,,,,,362044.14S,1744541.24E,NZOF,,,,
THR RWY 04,1757530.0170220,5976015.0539138,4.5720000,*,S36.3480583,E174.7555194,,,,,,,,362053.01S,1744519.87E,NZOF,,,,
THR RWY 27L,1360864.3333741,5069478.8739170,412.6992000,*,S44.4884028,E169.9925417,,,,,,,,442918.25S,1695933.15E,NZOA,,,,
THR RWY 09R,1359594.3479173,5069968.3794655,420.6240000,*,S44.4835806,E169.9768194,,,,,,,,442900.89S,1695836.55E,NZOA,,,,
RWY RWY-09R/27L,1359570.1029928,5069977.9874690,420.6240000,*,S44.4834861,E169.9765194,,,,,,,,442900.55S,1695835.47E,NZOA,,,,
THR RWY 27R,1360893.2342600,5069534.9353296,412.6992000,*,S44.4879083,E169.9929306,,,,,,,,442916.47S,1695934.55E,NZOA,,,,
THR RWY 09L,1359620.0759232,5070020.3129854,420.6240000,*,S44.4831222,E169.9771667,,,,,,,,442859.24S,1695837.80E,NZOA,,,,
RWY RWY-09L/27R,1359595.4004838,5070029.5961850,420.6240000,*,S44.4830306,E169.9768611,,,,,,,,442858.91S,1695836.70E,NZOA,,,,
RWY RWY-09/27,1978486.8989804,5782713.5405438,7.6200000,*,S38.0242472,E177.3113472,,,,,,,,380127.29S,1771840.85E,NZOP,,,,
THR RWY 27,1978266.1291926,5782782.2057647,7.6200000,*,S38.0237222,E177.3088028,,,,,,,,380125.40S,1771831.69E,NZOP,,,,
THR RWY 09,1977777.3191683,5782933.7620810,7.6200000,*,S38.0225639,E177.3031694,,,,,,,,380121.23S,1771811.41E,NZOP,,,,
RWY RWY-09/27,1977513.1382652,5783015.5441788,7.6200000,*,S38.0219389,E177.3001250,,,,,,,,380118.98S,1771800.45E,NZOP,,,,
RWY RWY-11/29,1809997.8198009,5446541.6162976,38.1000000,*,S41.1052806,E175.5008306,,,,,,,,410619.01S,1753002.99E,NZPW,,,,
THR RWY 29,1809918.2745632,5446633.4112643,38.1000000,*,S41.1044750,E175.4998528,,,,,,,,410616.11S,1752959.47E,NZPW,,,,
THR RWY 11,1809669.6626262,5446919.5704895,38.1000000,*,S41.1019639,E175.4967972,,,,,,,,410607.07S,1752948.47E,NZPW,,,,
THR RWY 21,1810573.7240859,5447131.5765325,39.0144000,*,S41.0998222,E175.5074806,,,,,,,,410559.36S,1753026.93E,NZPW,,,,
THR RWY 03,1809856.0619525,5446588.8977377,37.1856000,*,S41.1048917,E175.4991278,,,,,,,,410617.61S,1752956.86E,NZPW,,,,
THR RWY 20,1481328.4130541,5173230.7000904,478.5360000,*,S43.5844444,E171.5300556,,,,,,,,433504.00S,1713148.20E,NZPH,,,,
RWY RWY-02/20,1481358.4707351,5173268.8810826,478.5360000,*,S43.5841056,E171.5304361,,,,,,,,433502.78S,1713149.57E,NZPH,,,,
THR RWY 02,1480807.3420629,5172546.5489500,457.8096000,*,S43.5905194,E171.5234528,,,,,,,,433525.87S,1713124.43E,NZPH,,,,
THR RWY 23,1763896.0449986,5814268.0370389,4.2672000,*,S37.8042765,E174.8617348,,,,,,,,374815.3953S,1745142.2451E,NZRA,,,,
RWY RWY-05/23,1763416.8154504,5814079.3780418,4.2672000,*,S37.8060619,E174.8563363,,,,,,,,374821.8228S,1745122.8105E,NZRA,,,,
THR RWY 05,1763430.5838990,5814085.3856235,4.2672000,*,S37.8060053,E174.8564912,,,,,,,,374821.6191S,1745123.3684E,NZRA,,,,
RWY RWY-05/23,1763961.2182286,5814293.6328133,4.2672000,*,S37.8040342,E174.8624689,,,,,,,,374814.5231S,1745144.8881E,NZRA,,,,
THR RWY 22,1563142.9199563,5207037.8167586,54.8640000,*,S43.2885806,E172.5456806,,,,,,,,431718.89S,1723244.45E,NZRT,,,,
THR RWY 04,1562734.7836370,5206753.6226961,54.8640000,*,S43.2911194,E172.5406306,,,,,,,,431728.03S,1723226.27E,NZRT,,,,
RWY RWY-04/22,1562719.9671412,5206743.3609468,54.8640000,*,S43.2912111,E172.5404472,,,,,,,,431728.36S,1723225.61E,NZRT,,,,
THR RWY 10,1562423.0471886,5207093.4037216,54.8640000,*,S43.2880444,E172.5368111,,,,,,,,431716.96S,1723212.52E,NZRT,,,,
RWY RWY-10/28,1562912.4643497,5206775.2662515,54.8640000,*,S43.2909333,E172.5428222,,,,,,,,431727.36S,1723234.16E,NZRT,,,,
THR RWY 28,1562893.9204975,5206787.1959936,54.8640000,*,S43.2908250,E172.5425944,,,,,,,,431726.97S,1723233.34E,NZRT,,,,
THR RWY 25,1563152.1838081,5206991.9016877,57.6072000,*,S43.2889944,E172.5457917,,,,,,,,431720.38S,1723244.85E,NZRT,,,,
RWY RWY-07/25,1562195.4640146,5207007.3027043,62.4840000,*,S43.2888083,E172.5340000,,,,,,,,431719.71S,1723202.40E,NZRT,,,,
RWY RWY-07/25,1563375.7545403,5206988.4858919,56.3880000,*,S43.2890361,E172.5485472,,,,,,,,431720.53S,1723254.77E,NZRT,,,,
THR RWY 07,1562437.0640299,5207004.0183768,61.2648000,*,S43.2888500,E172.5369778,,,,,,,,431719.86S,1723213.12E,NZRT,,,,
THR RWY 18G,1891120.2033098,5777650.1610408,284.9880000,*,S38.1020877,E176.3199819,,,,,,,,380607.5159S,1761911.9349E,NZRO,,,,
THR RWY 36G,1890795.3700668,5777019.3490266,285.2928000,*,S38.1078681,E176.3165401,,,,,,,,380628.3252S,1761859.5442E,NZRO,,,,
THR RWY 36,1890317.7703534,5776189.4406101,285.9024000,*,S38.1154889,E176.3114389,,,,,,,,380655.76S,1761841.18E,NZRO,,,,
THR RWY 18,1891157.9994450,5777830.2118101,284.9880000,*,S38.1004556,E176.3203389,,,,,,,,380601.64S,1761913.22E,NZRO,,,,
THR RWY 22,1227169.2563356,4794476.9194869,83.2104000,*,S46.8984611,E168.1048556,,,,,,,,465354.46S,1680617.48E,NZRC,,,,
THR RWY 04,1226624.4058633,4794157.1744139,85.9536000,*,S46.9010222,E168.0974667,,,,,,,,465403.68S,1680550.88E,NZRC,,,,
RWY RWY-11/29,1394753.7454371,4918344.1843699,21.9456000,*,S45.8578722,E170.3560806,,,,,,,,455128.34S,1702121.89E,NZTI,,,,
RWY RWY-11/29,1395384.0407098,4917920.7689509,24.0792000,*,S45.8618667,E170.3640111,,,,,,,,455142.72S,1702150.44E,NZTI,,,,
THR RWY 29,1395375.6432915,4917926.6704908,24.0792000,*,S45.8618111,E170.3639056,,,,,,,,455142.52S,1702150.06E,NZTI,,,,
THR RWY 11,1394820.4206454,4918299.4328445,21.9456000,*,S45.8582944,E170.3569194,,,,,,,,455129.86S,1702124.91E,NZTI,,,,
RWY RWY-05/23,1394931.7249551,4917832.5860498,21.9456000,*,S45.8625250,E170.3581528,,,,,,,,455145.09S,1702129.35E,NZTI,,,,
THR RWY 23,1395711.3166048,4918181.2044900,25.9080000,*,S45.8596222,E170.3683333,,,,,,,,455134.64S,1702206.00E,NZTI,,,,
THR RWY 05,1394950.2688823,4917839.6880792,21.9456000,*,S45.8624667,E170.3583944,,,,,,,,455144.88S,1702130.22E,NZTI,,,,
THR RWY 34,1881708.6646626,5825309.6338052,1.8288000,*,S37.6761851,E176.1942064,,,,,,,,374034.2665S,1761139.1430E,NZTG,,,,
THR RWY 16,1881741.1984933,5825608.3325120,3.9624000,*,S37.6734871,E176.1944594,,,,,,,,374024.5534S,1761140.0538E,NZTG,,,,
THR RWY 25G,1882610.8865240,5825682.4014063,3.9624000,*,S37.6725531,E176.2042773,,,,,,,,374021.1912S,1761215.3984E,NZTG,,,,
THR RWY 07G,1881817.3207188,5825761.0739540,3.9624000,*,S37.6720891,E176.1952623,,,,,,,,374019.5208S,1761142.9441E,NZTG,,,,
THR RWY 22,1881720.1704411,5826148.8933756,3.9624000,*,S37.6686288,E176.1940126,,,,,,,,374007.0637S,1761138.4453E,NZTG,,,,
THR RWY 04,1881139.3541421,5825848.4833450,3.9624000,*,S37.6715104,E176.1875527,,,,,,,,374017.4374S,1761115.1896E,NZTG,,,,
THR RWY 25,1883027.3989844,5825528.3503846,3.9624000,*,S37.6738111,E176.2090528,,,,,,,,374025.72S,1761232.59E,NZTG,,,,
THR RWY 07,1881207.6770181,5825707.4881917,3.9624000,*,S37.6727583,E176.1883806,,,,,,,,374021.93S,1761118.17E,NZTG,,,,
THR RWY 08,1181734.3318790,4944022.7352330,209.3976000,*,S45.5315667,E167.6431861,,,,,,,,453153.64S,1673835.47E,NZMO,,,,
THR RWY 26,1183308.9341660,4943800.2853104,208.1784000,*,S45.5345028,E167.6630750,,,,,,,,453204.21S,1673947.07E,NZMO,,,,
THR RWY 32,1182177.8327696,4943351.7677910,205.7400000,*,S45.5378456,E167.6482692,,,,,,,,453216.2440S,1673853.7690E,NZMO,,,,
THR RWY 14,1181817.7070861,4944253.1619665,209.3976000,*,S45.5295516,E167.6444458,,,,,,,,453146.3859S,1673840.0048E,NZMO,,,,
THR RWY 05,1790124.2712408,5820249.4220216,33.5280000,*,S37.7453194,E175.1579194,,,,,,,,374443.15S,1750928.51E,NZTE,,,,
THR RWY 23,1790909.9789667,5820527.6410784,35.0520000,*,S37.7426500,E175.1667583,,,,,,,,374433.54S,1751000.33E,NZTE,,,,
RWY RWY-16/34,1787826.9107192,5757880.2887242,48.7680000,*,S38.3075250,E175.1482083,,,,,,,,381827.09S,1750853.55E,NZTT,,,,
THR RWY 34,1787825.3379076,5757958.9758870,48.7680000,*,S38.3068167,E175.1481694,,,,,,,,381824.54S,1750853.41E,NZTT,,,,
THR RWY 16,1787794.3848885,5758728.9284245,48.7680000,*,S38.2998889,E175.1476111,,,,,,,,381759.60S,1750851.40E,NZTT,,,,
RWY RWY-16/34,1787793.1071292,5758747.1556800,48.7680000,*,S38.2997250,E175.1475917,,,,,,,,381759.01S,1750851.33E,NZTT,,,,
RWY RWY-11/29,1459262.6772587,5092561.9855242,22.8600000,*,S44.3065722,E171.2355000,,,,,,,,441823.66S,1711407.80E,NZTU,,,,
THR RWY 29,1459185.4760198,5092626.6911387,23.1648000,*,S44.3059750,E171.2345500,,,,,,,,441821.51S,1711404.38E,NZTU,,,,
THR RWY 11,1458457.2975050,5093252.1149868,25.9080000,*,S44.3002056,E171.2255944,,,,,,,,441800.74S,1711332.14E,NZTU,,,,
THR RWY 02G,1458089.4999681,5093089.4946210,26.2128000,*,S44.3015972,E171.2209417,,,,,,,,441805.75S,1711315.39E,NZTU,,,,
THR RWY 20G,1458859.1203690,5093996.3934248,25.9080000,*,S44.2935861,E171.2308306,,,,,,,,441736.91S,1711350.99E,NZTU,,,,
THR RWY 20,1458895.9779687,5093880.8141169,25.9080000,*,S44.2946333,E171.2312611,,,,,,,,441740.68S,1711352.54E,NZTU,,,,
THR RWY 02,1458069.3849134,5092902.9198605,25.9080000,*,S44.3032722,E171.2206389,,,,,,,,441811.78S,1711314.30E,NZTU,,,,
THR RWY 35,1786047.6951822,5924101.1765444,124.9680000,*,S36.8106667,E175.0856944,,,,,,,,364838.40S,1750508.50E,NZKE,,,,
RWY RWY-17/35,1786032.3822338,5924001.6075714,122.5296000,*,S36.8115667,E175.0855472,,,,,,,,364841.64S,1750507.97E,NZKE,,,,
THR RWY 17,1786128.0237811,5924623.6063478,135.6360000,*,S36.8059444,E175.0864667,,,,,,,,364821.40S,1750511.28E,NZKE,,,,
THR RWY 04,1481305.8780234,5378077.8256281,3.9624000,*,S41.7402556,E171.5726083,,,,,,,,414424.92S,1713421.39E,NZWS,,,,
THR RWY 22,1482363.5476194,5378800.2010271,3.6576000,*,S41.7339083,E171.5854667,,,,,,,,414402.07S,1713507.68E,NZWS,,,,
THR RWY 32,1772961.8551319,5573892.5337642,6.0960000,*,S39.9674406,E175.0252344,,,,,,,,395802.786S,1750130.844E,NZWU,,,,
THR RWY 14,1772701.8671888,5574542.7613482,4.5720000,*,S39.9616389,E175.0220194,,,,,,,,395741.90S,1750119.27E,NZWU,,,,
THR RWY 29G,1773102.8928683,5574007.0207521,7.4349864,*,S39.9663808,E175.0268544,,,,,,,,395758.971S,1750136.676E,NZWU,,,,
THR RWY 11G,1772482.2473968,5574494.1216261,4.5628560,*,S39.9621217,E175.0194625,,,,,,,,395743.638S,1750110.065E,NZWU,,,,
THR RWY 26,1773187.7525860,5574287.7061747,9.0150696,*,S39.9638361,E175.0277728,,,,,,,,395749.810S,1750139.982E,NZWU,,,,
THR RWY 08,1772537.9631088,5574451.1817495,4.7439072,*,S39.9624969,E175.0201258,,,,,,,,395744.989S,1750112.453E,NZWU,,,,
THR RWY 29,1773446.3893103,5573911.7451284,7.9248000,*,S39.9671683,E175.0308994,,,,,,,,395801.806S,1750151.238E,NZWU,,,,
THR RWY 11,1772366.6929317,5574758.7433002,3.0480000,*,S39.9597625,E175.0180403,,,,,,,,395735.145S,1750104.945E,NZWU,,,,
THR RWY 35,1823389.4314088,5774999.6132205,167.6400000,*,S38.1452389,E175.5492111,,,,,,,,380842.86S,1753257.16E,NZES,,,,
THR RWY 17,1823466.3870396,5775388.0754310,167.6400000,*,S38.1417222,E175.5499667,,,,,,,,380830.2S,1753259.88E,NZES,,,,
THR RWY 25,1823790.2103083,5775140.6801368,167.6400000,*,S38.1438694,E175.5537361,,,,,,,,380837.93S,1753313.45E,NZES,,,,
THR RWY 07,1823290.3490148,5775153.2004664,167.6400000,*,S38.1438806,E175.5480333,,,,,,,,380837.97S,1753252.92E,NZES,,,,
RWY RWY-07/25,1823204.6250616,5775154.6306488,167.6400000,*,S38.1438889,E175.5470556,,,,,,,,380838.00S,1753249.40E,NZES,,,,
THR RWY 21,1471039.2148991,5149943.8724286,299.0088000,*,S43.7923278,E171.3970806,,,,,,,,434732.38S,1712349.49E,NZAN,,,,
THR RWY 03,1470578.4562836,5149643.8931693,305.4096000,*,S43.7949472,E171.3912833,,,,,,,,434741.81S,1712328.62E,NZAN,,,,
THR RWY 28,2072398.7446937,5821603.5884432,1.5240000,*,S37.6312528,E178.3518694,,,,,,,,373752.51S,1782106.73E,NZTR,,,,
THR RWY 10,2071768.7735242,5822034.2497040,1.5240000,*,S37.6277111,E178.3444833,,,,,,,,373739.76S,1782040.14E,NZTR,,,,
RWY RWY-11/29,1580700.3436559,5482293.4787244,22.8600000,*,S40.8101417,E172.7711750,,,,,,,,404836.51S,1724616.23E,NZTK,,,,
THR RWY 11,1580707.1564173,5482286.4044084,22.8600000,*,S40.8102056,E172.7712556,,,,,,,,404836.74S,1724616.52E,NZTK,,,,
THR RWY 29,1581251.8156528,5481754.0482516,26.5176000,*,S40.8150139,E172.7776972,,,,,,,,404854.05S,1724639.71E,NZTK,,,,
RWY RWY-18/36,1580961.1198375,5481425.9370109,30.4800000,*,S40.8179630,E172.7742404,,,,,,,,404904.6667S,1724627.2653E,NZTK,,,,
THR RWY 18,1581236.9171173,5482178.3027891,23.1648000,*,S40.8111917,E172.7775333,,,,,,,,404840.29S,1724639.12E,NZTK,,,,
RWY RWY-18/36,1581247.1705070,5482207.3940495,22.8600000,*,S40.8109298,E172.7776558,,,,,,,,404839.3474S,1724639.5608E,NZTK,,,,
THR RWY 36,1580987.0479584,5481497.7480738,29.8704000,*,S40.8173167,E172.7745500,,,,,,,,404902.34S,1724628.38E,NZTK,,,,
THR RWY 18,1775742.6636942,5893106.1411408,29.5656000,*,S37.0918750,E174.9774417,,,,,,,,370530.75S,1745838.79E,NZDY,,,,
THR RWY 36,1775439.6892500,5892208.0937788,27.4320000,*,S37.1000222,E174.9742444,,,,,,,,370600.08S,1745827.28E,NZDY,,,,
RWY RWY-18/36 GR,1775422.8577684,5892158.8015433,27.4320000,*,S37.1004694,E174.9740667,,,,,,,,370601.69S,1745826.64E,NZDY,,,,
THR RWY 16G,1981396.1850879,5673598.4930164,12.8016000,*,S39.0035139,E177.4038417,,,,,,,,390012.65S,1772413.83E,NZWO,,,,
THR RWY 34G,1981411.6247750,5672225.3445055,10.3632000,*,S39.0158444,E177.4047861,,,,,,,,390057.04S,1772417.23E,NZWO,,,,
THR RWY 34,1981405.8770150,5672236.1349869,10.0584000,*,S39.0157500,E177.4047139,,,,,,,,390056.70S,1772416.97E,NZWO,,,,
THR RWY 16,1981394.1949935,5673149.3678650,11.8872000,*,S39.0075500,E177.4040694,,,,,,,,390027.18S,1772414.65E,NZWO,,,,
RWY RWY-16/34,1981388.5598888,5673595.4617593,12.8016000,*,S39.0035444,E177.4037556,,,,,,,,390012.76S,1772413.52E,NZWO,,,,
THR RWY 24,1583766.1624187,5287025.5388858,298.7040000,*,S42.5690065,E172.8022091,,,,,,,,423408.4233S,1724807.9526E,NZHM,,,,
THR RWY 06,1583055.8558966,5286897.5875348,298.7040000,*,S42.5701435,E172.7935510,,,,,,,,423412.5166S,1724736.7837E,NZHM,,,,
THR RWY 35,1585085.3874464,6178992.3717981,45.1104000,*,S34.5306472,E172.8374778,,,,,,,,343150.33S,1725014.92E,NZWQ,,,,
THR RWY 17,1585193.0090446,6179761.6757889,60.9600000,*,S34.5237111,E172.8386639,,,,,,,,343125.36S,1725019.19E,NZWQ,,,,
THR RWY 24G,1821940.5449757,5460690.8861635,103.3272000,*,S40.9747833,E175.6378222,,,,,,,,405829.22S,1753816.16E,NZMS,,,,
RWY RWY-06/24 GR,1822145.5309263,5460730.9936239,102.4128000,*,S40.9743667,E175.6402417,,,,,,,,405827.72S,1753824.87E,NZMS,,,,
THR RWY 06G,1821105.3418046,5460527.7732840,106.6800000,*,S40.9764778,E175.6279639,,,,,,,,405835.32S,1753740.67E,NZMS,,,,
THR RWY 24,1822173.7419380,5460812.8685851,101.4984000,*,S40.9736222,E175.6405472,,,,,,,,405825.04S,1753825.97E,NZMS,,,,
THR RWY 06,1821072.5573537,5460596.6703695,110.3376000,*,S40.9758667,E175.6275500,,,,,,,,405833.12S,1753739.18E,NZMS,,,,
THR RWY 28,1821833.0736117,5460440.0836349,104.2416000,*,S40.9770694,E175.6366361,,,,,,,,405837.45S,1753811.89E,NZMS,,,,
THR RWY 10,1821090.9807517,5460952.3367902,110.3376000,*,S40.9726611,E175.6276417,,,,,,,,405821.58S,1753739.51E,NZMS,,,,
THR RWY 06,1839161.3561674,5603339.6727790,472.4400000,*,S39.6863111,E175.7888806,,,,,,,,394110.72S,1754719.97E,NZVR,,,,
THR RWY 24,1839608.6149872,5603427.6033439,464.8200000,*,S39.6853944,E175.7940583,,,,,,,,394107.42S,1754738.61E,NZVR,,,,
THR RWY 16,1739669.0648170,5979359.9185566,29.8704000,*,S36.3206722,E174.5559472,,,,,,,,361914.42S,1743321.41E,NZSL,,,,
RWY RWY-16/34,1739652.7125311,5978669.1371272,29.8704000,*,S36.3269000,E174.5558889,,,,,,,,361936.84S,1743321.20E,NZSL,,,,
RWY RWY-16/34,1739674.0988010,5979548.7804862,29.8704000,*,S36.3189694,E174.5559694,,,,,,,,361908.29S,1743321.49E,NZSL,,,,
THR RWY 34,1739649.0407238,5978843.9608767,29.8704000,*,S36.3253250,E174.5558167,,,,,,,,361931.17S,1743320.94E,NZSL,,,,
RWY RWY-16/34 GR,1739671.8073064,5978724.3107188,29.8704000,*,S36.3264000,E174.5560917,,,,,,,,361935.04S,1743321.93E,NZSL,,,,
RWY RWY-16/34 GR,1739689.3658026,5979489.9717933,30.1752000,*,S36.3194972,E174.5561500,,,,,,,,361910.19S,1743322.14E,NZSL,,,,
THR RWY 16G,1739687.1147318,5979350.0731082,30.1752000,*,S36.3207583,E174.5561500,,,,,,,,361914.73S,1743322.14E,NZSL,,,,
THR RWY 34G,1739675.2323786,5978844.1558867,29.8704000,*,S36.3253194,E174.5561083,,,,,,,,361931.15S,1743321.99E,NZSL,,,,
THR RWY 27,1358906.5848450,5183552.8433693,173.7360000,*,S43.4620972,E170.0197444,,,,,,,,432743.55S,1700111.08E,NZFO,,,,
THR RWY 09,1358321.0531470,5183811.1059163,152.4000000,*,S43.4595861,E170.0126306,,,,,,,,432734.51S,1700045.47E,NZFO,,,,
THR RWY 21G,1775742.5651608,5900122.9233031,32.6136000,*,S37.0286611,E174.9758000,,,,,,,,370143.18S,1745832.88E,NZAR,,,,
THR RWY 03G,1775364.1229157,5899766.9446630,33.8328000,*,S37.0319389,E174.9716306,,,,,,,,370154.98S,1745817.87E,NZAR,,,,
THR RWY 07,1775157.8937190,5900098.0499066,31.3944000,*,S37.0289944,E174.9692361,,,,,,,,370144.38S,1745809.25E,NZAR,,,,
THR RWY 25,1775756.1415645,5900086.2579149,32.6136000,*,S37.0289889,E174.9759611,,,,,,,,370144.36S,1745833.46E,NZAR,,,,
THR RWY 03,1775191.5239363,5899477.9139917,32.6136000,*,S37.0345750,E174.9697583,,,,,,,,370204.47S,1745811.13E,NZAR,,,,
THR RWY 21,1776060.6142173,5900295.7600859,33.2232000,*,S37.0270444,E174.9793333,,,,,,,,370137.36S,1745845.60E,NZAR,,,,
RWY RWY-03/21,1775117.1408021,5899407.3047186,32.0040000,*,S37.0352250,E174.9689389,,,,,,,,370206.81S,1745808.18E,NZAR,,,,
RWY RWY-03/21,1776144.0757596,5900374.1895334,32.9184000,*,S37.0263222,E174.9802528,,,,,,,,370134.76S,1745848.91E,NZAR,,,,
THR RWY 25,1823005.0579371,5533436.8158516,46.0248000,*,S40.3198361,E175.6246694,,,,,,,,401911.41S,1753728.81E,NZPM,,,,
RWY RWY-07/25,1823085.0850066,5533434.7503214,46.0248000,*,S40.3198333,E175.6256111,,,,,,,,401911.40S,1753732.20E,NZPM,,,,
THR RWY 07,1821322.4687670,5533483.4496224,36.8808000,*,S40.3198639,E175.6048694,,,,,,,,401911.51S,1753617.53E,NZPM,,,,
