Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
RWY RWY-07/25,1688373.1474687,6004822.3210414,1.8288000,*,S36.0972194,E173.9817250,,,,,,,,360549.99S,1735854.21E,NZRW,,,,
RWY RWY-07/25,1688450.1685083,6004821.8512592,1.8288000,*,S36.0972167,E173.9825806,,,,,,,,360549.98S,1735857.29E,NZRW,,,,
THR RWY 05G,1649540.8212889,5302802.9761167,5.7912000,*,S42.4255056,E173.6022194,,,,,,,,422531.82S,1733607.99E,NZKI,,,,
THR RWY 23G,1650107.1446850,5303032.1284092,5.7912000,*,S42.4234056,E173.6090833,,,,,,,,422524.26S,1733632.70E,NZKI,,,,
THR RWY 05,1649363.5305369,5302712.0034843,5.7912000,*,S42.4263361,E173.6000722,,,,,,,,422534.81S,1733600.26E,NZKI,,,,
THR RWY 23,1650009.4314016,5302981.9336249,5.7912000,*,S42.4238639,E173.6079000,,,,,,,,422525.91S,1733628.44E,NZKI,,,,
THR RWY 28,1822022.0961385,5540337.5350361,65.2272000,*,S40.2579917,E175.6107194,,,,,,,,401528.77S,1753638.59E,NZFI,,,,
THR RWY 10,1821226.1080395,5540818.6589105,65.2272000,*,S40.2538722,E175.6012028,,,,,,,,401513.94S,1753604.33E,NZFI,,,,
RWY RWY-10/28,1821140.1358351,5540870.5643654,65.2272000,*,S40.2534278,E175.6001750,,,,,,,,401512.34S,1753600.63E,NZFI,,,,
THR RWY 24,1618747.8419539,5428411.8385479,3.9624000,*,S41.2955250,E173.2239222,,,,,,,,411743.89S,1731326.12E,NZNS,,,,
THR RWY 06,1618225.5659922,5428349.9493837,4.2672000,*,S41.2960944,E173.2176861,,,,,,,,411745.94S,1731303.67E,NZNS,,,,
THR RWY 20G,1618751.8381999,5428788.9743222,4.8768000,*,S41.2921278,E173.2239583,,,,,,,,411731.66S,1731326.25E,NZNS,,,,
THR RWY 02G,1618362.0906077,5428352.6895599,4.5720000,*,S41.2960667,E173.2193167,,,,,,,,411745.84S,1731309.54E,NZNS,,,,
THR RWY 02,1618330.1372448,5427763.1515009,2.7432000,*,S41.3013778,E173.2189528,,,,,,,,411804.96S,1731308.23E,NZNS,,,,
THR RWY 20,1619214.6493221,5428778.2060873,3.6576000,*,S41.2922139,E173.2294861,,,,,,,,411731.97S,1731346.15E,NZNS,,,,
THR RWY 34,1751149.1033875,5422486.5670397,7.3152000,*,S41.3349387,E174.8063584,,,,,,,,412005.7794S,1744822.8901E,NZWN,,,,
THR RWY 16,1751278.8451637,5424296.1937164,12.4968000,*,S41.3186219,E174.8074577,,,,,,,,411907.0388S,1744826.8477E,NZWN,,,,
THR RWY 34G,1767516.8584425,5469655.8352418,5.1816000,*,S40.9070583,E174.9889917,,,,,,,,405425.41S,1745920.37E,NZPP,,,,
THR RWY 16G,1767529.9562248,5470211.2194901,5.4864000,*,S40.9020556,E174.9889972,,,,,,,,405407.40S,1745920.39E,NZPP,,,,
THR RWY 30G,1767690.9655801,5469890.0676431,5.1816000,*,S40.9049139,E174.9909944,,,,,,,,405417.69S,1745927.58E,NZPP,,,,
THR RWY 16,1767441.7161140,5470290.4315608,5.4864000,*,S40.9013605,E174.9879288,,,,,,,,405404.8977S,1745916.5438E,NZPP,,,,
THR RWY 34,1767417.2801698,5469248.5851421,4.5720000,*,S40.9107452,E174.9879199,,,,,,,,405438.6826S,1745916.5115E,NZPP,,,,
RWY RWY-16/34,1767445.1252050,5470435.0811571,5.7912000,*,S40.9000575,E174.9879303,,,,,,,,405400.207S,1745916.549E,NZPP,,,,
THR RWY 06,1671832.9022218,5403345.9518016,32.6136000,*,S41.5183039,E173.8608965,,,,,,,,413105.8942S,1735139.2273E,NZWB,,,,
THR RWY 24,1673254.7409966,5403432.0227895,23.7744000,*,S41.5173999,E173.8779244,,,,,,,,413102.6398S,1735240.5279E,NZWB,,,,
RWY RWY-10/28,1673035.7852763,5403173.9771289,27.4320000,*,S41.5197440,E173.8753319,,,,,,,,413111.0784S,1735231.195E,NZWB,,,,
THR RWY 28,1673010.4643159,5403190.0649179,27.4320000,*,S41.5196014,E173.8750266,,,,,,,,413110.5651S,1735230.0956E,NZWB,,,,
